id,ra_deg,dec_deg,magnitude
HIP25,0.080100,-44.291361,6.280
HIP34,0.099918,26.917714,6.430
HIP43,0.127724,59.559502,6.180
HIP50,0.143644,-53.097864,6.490
HIP63,0.181967,45.253336,6.360
HIP88,0.268915,-48.809926,5.710
HIP106,0.330347,49.981476,6.220
HIP107,0.333910,-50.337295,5.530
HIP122,0.397381,-77.067027,4.780
HIP124,0.404192,61.222791,5.580
HIP128,0.415926,73.611755,6.500
HIP137,0.432756,42.367131,6.250
HIP145,0.456169,-3.027579,5.130
HIP154,0.490425,-6.014376,4.370
HIP171,0.548522,27.075493,5.800
HIP183,0.583087,-29.720311,5.040
HIP186,0.600684,8.956794,6.330
HIP194,0.623064,8.485113,5.700
HIP207,0.650415,66.098974,5.870
HIP238,0.740302,-20.045301,6.250
HIP253,0.783194,-24.145168,6.460
HIP274,0.857091,63.640507,6.240
HIP301,0.935170,-17.336042,4.550
HIP302,0.965276,66.712123,6.310
HIP330,1.056914,62.287661,5.900
HIP343,1.082888,-16.529480,5.780
HIP345,1.084896,-29.268797,6.380
HIP355,1.125446,-10.509610,4.990
HIP365,1.152332,42.092436,6.110
HIP377,1.172659,-71.436991,5.590
HIP379,1.176373,67.166620,5.680
HIP394,1.230478,34.660537,6.090
HIP399,1.234225,26.648657,6.250
HIP410,1.255623,27.674736,6.470
HIP417,1.266255,-0.503429,6.320
HIP418,1.275804,61.313986,5.800
HIP443,1.333859,-5.706969,4.610
HIP476,1.425157,13.396218,5.550
HIP518,1.568819,58.436864,5.980
HIP522,1.585619,-49.075485,5.700
HIP531,1.610714,64.196168,5.570
HIP544,1.656333,29.020189,6.070
HIP560,1.709444,-23.107887,6.190
HIP602,1.826032,-17.386865,6.200
HIP635,1.934022,-2.548659,6.430
HIP636,1.945954,-22.508816,5.930
HIP655,2.014167,-33.529303,5.670
HIP664,2.050448,-2.447747,6.180
HIP671,2.072806,-8.824375,5.990
HIP677,2.098008,29.089233,2.070
HIP695,2.136776,63.204014,6.410
HIP696,2.139685,-17.578503,6.110
HIP699,2.169598,36.626208,6.210
HIP716,2.218063,25.463388,6.240
HIP728,2.250724,28.247502,6.470
HIP729,2.261172,18.211775,5.570
HIP730,2.260482,-54.001835,6.320
HIP746,2.300818,59.148452,2.280
HIP760,2.337252,79.714255,6.010
HIP761,2.338370,-27.988002,5.420
HIP765,2.353829,-45.748752,3.880
HIP798,2.467384,-62.296665,6.340
HIP813,2.509393,11.145825,5.540
HIP814,2.508217,-82.224197,5.290
HIP840,2.578879,-5.248802,5.840
HIP841,2.580228,46.072274,5.010
HIP873,2.679602,-12.580178,5.840
HIP910,2.815442,-15.469959,4.890
HIP930,2.893448,-27.799611,5.410
HIP950,2.934801,-35.132282,5.240
HIP967,2.996783,48.152472,6.180
