loc,lat_deg,lon_deg,height_m,iso_utc,jd_utc,obj_id,obj_type,ra_in_deg,dec_in_deg,mag,gmst_deg_oracle,gmst_deg_kotlin,gast_deg_oracle,gast_deg_kotlin,az_oracle_geometric,alt_oracle_geometric,az_oracle_refr1010,alt_oracle_refr1010,az_oracle_refr_appweather,alt_oracle_refr_appweather,az_kotlin_star_live,alt_kotlin_star_live,az_kotlin_star_live_elev,alt_kotlin_star_live_elev,az_kotlin_fte,alt_kotlin_fte
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,star_cma_sirius,STAR,101.287000,-16.716000,-1.46,283.951472328,283.951484917,283.953807952,283.953820514,155.29163948,-35.59500549,155.29163948,-35.47965358,155.29163948,-35.48223020,155.29507938,-35.59023898,155.29507938,-35.59023898,155.29626201,-35.59278692
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,star_cma_adhara,STAR,104.656000,-28.972000,1.5,283.951472328,283.951484917,283.953807952,283.953820514,163.18118354,-24.93525485,163.18118354,-24.78535707,163.18118354,-24.78918784,163.18479540,-24.92994796,163.18479540,-24.92994796,163.18557002,-24.93216495
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,star_cma_wezen,STAR,107.098000,-26.393000,1.83,283.951472328,283.951484917,283.953807952,283.953820514,164.77821946,-27.98180985,164.77821946,-27.84074458,164.77821946,-27.84421999,164.78177955,-27.97667784,164.78177955,-27.97667784,164.78275662,-27.97882252
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,star_cma_mirzam,STAR,95.675000,-17.956000,1.98,283.951472328,283.951484917,283.953807952,283.953820514,149.95829710,-32.32739001,149.95829710,-32.20044008,149.95829710,-32.20339992,149.96169714,-32.32239463,149.96169714,-32.32239463,149.96253836,-32.32513932
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,star_cmi_procyon,STAR,114.825000,5.225000,0.34,283.951472328,283.951484917,283.953807952,283.953820514,165.33815116,-60.47002743,165.33815116,-60.44375405,165.33815116,-60.44418735,165.34195589,-60.46688373,165.34195589,-60.46688373,165.34620867,-60.46900257
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,star_car_canopus,STAR,95.987000,-52.695000,-0.74,283.951472328,283.951484917,283.953807952,283.953820514,164.45878359,-0.39580213,164.45878359,-0.21073428,164.45878359,-0.21630506,164.46321063,0.14587356,164.46321063,0.14458940,164.46281125,0.27490991
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,star_car_miaplacidus,STAR,138.300000,-69.720000,1.67,283.951472328,283.951484917,283.953807952,283.953820514,185.62575121,14.41078221,185.62575121,14.47217469,185.62575121,14.47119222,185.63132305,14.47840396,185.63132305,14.47825339,185.63007920,14.47760710
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,star_cen_rigil_kent,STAR,219.900000,-60.833000,-0.01,283.951472328,283.951484917,283.953807952,283.953820514,214.96690219,32.97529835,214.96690219,33.00004973,214.96690219,32.99965978,214.97365818,33.00226661,214.97365818,33.00220531,214.97108170,33.00284119
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,star_cen_hadar,STAR,210.956000,-60.373000,0.61,283.951472328,283.951484917,283.953807952,283.953820514,214.11366283,28.62546198,214.11366283,28.65484402,214.11366283,28.65438056,214.11993410,28.65756232,214.11993410,28.65748962,214.11769536,28.65809306
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,star_lyr_vega,STAR,279.234000,38.783000,0.03,283.951472328,283.951484917,283.953807952,283.953820514,341.76256042,14.22368467,341.76256042,14.28588338,341.76256042,14.28488750,341.75839991,14.28847208,341.75839991,14.28831952,341.75861852,14.29102693
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,star_cyg_deneb,STAR,310.358000,45.280000,1.25,283.951472328,283.951484917,283.953807952,283.953820514,5.85800230,10.34250590,5.85800230,10.42718337,5.85800230,10.42580292,5.85373382,10.43148873,5.85373382,10.43128223,5.85390452,10.43344663
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,star_cyg_sadr,STAR,305.557000,40.260000,2.23,283.951472328,283.951484917,283.953807952,283.953820514,2.71314108,15.65368657,2.71314108,15.71017234,2.71314108,15.70927107,2.70846669,15.71412307,2.70846669,15.71398432,2.70893444,15.71553144
