loc,iso_utc,route,az_kotlin,alt_kotlin,az_oracle_geometric,alt_oracle_geometric,az_oracle_refr_appweather,alt_oracle_refr_appweather
CapeTown,2026-09-04T20:00:00,sun,244.26270034,-43.32635139,244.26350384,-43.32841812,244.26350384,-43.24427125
CapeTown,2026-09-04T20:00:00,moon,86.43477136,-52.02459777,86.42997668,-52.02438412,86.42997668,-51.97232601
CapeTown,2026-09-04T20:00:00,planet_mercury,248.78229556,-36.57291927,248.77917967,-36.57859645,248.77917967,-36.46933130
CapeTown,2026-09-04T20:00:00,planet_venus,253.33645768,0.37777153,253.32825855,-0.12201428,253.32825855,0.05752933
CapeTown,2026-09-04T20:00:00,planet_mars,125.32032805,-72.86548275,125.31638508,-72.87329940,125.31638508,-72.87011486
CapeTown,2026-09-04T20:00:00,planet_jupiter,221.66404693,-68.50434178,221.65698641,-68.51205558,221.65698641,-68.50328075
CapeTown,2026-09-04T20:00:00,planet_saturn,76.74752620,14.04010068,76.75180772,13.96541378,76.75180772,14.02774268
CapeTown,2026-09-04T20:00:00,planet_uranus,88.05353342,-37.19710834,88.04823636,-37.20111702,88.04823636,-37.09410052
CapeTown,2026-09-04T20:00:00,planet_neptune,73.00974655,23.32231900,73.01127279,23.27561305,73.01127279,23.31219888
CapeTown,2026-09-04T20:00:00,moon_geocentric,86.42986233,-51.41691673,86.42997668,-52.02438412,86.42997668,-51.97232601
Honolulu,2026-09-04T20:00:00,sun,105.96470994,50.97646412,105.96359976,50.96146332,105.96359976,50.97433598
Honolulu,2026-09-04T20:00:00,moon,288.69022634,44.99996090,288.69424405,44.98213806,288.69424405,44.99801478
Honolulu,2026-09-04T20:00:00,planet_mercury,103.61268902,43.56188742,103.61450736,43.54774098,103.61450736,43.56443075
Honolulu,2026-09-04T20:00:00,planet_venus,107.70565522,7.14044390,107.71327761,7.01822165,107.71327761,7.13589055
Honolulu,2026-09-04T20:00:00,planet_mars,279.33787371,72.45829060,279.35805607,72.45723152,279.35805607,72.46225376
Honolulu,2026-09-04T20:00:00,planet_jupiter,110.61801268,78.72339405,110.60945722,78.72770204,110.60945722,78.73086889
Honolulu,2026-09-04T20:00:00,planet_saturn,281.43173285,-19.92133670,281.42961058,-19.91131635,281.42961058,-19.75308360
