loc,height_m,iso_utc,target_alt_deg,az_used_deg,R_astropy_1010_arcmin,R_astropy_appweather_arcmin,R_legacy_elev0_arcmin,R_legacy_elevH_arcmin,R_fte_bennett_arcmin
Tehran,1200.0,2026-09-04T20:00:00,0.000,135.0,11.1074,9.6759,28.570671,25.421348,34.477534
Tehran,1200.0,2026-09-04T20:00:00,2.000,135.0,11.1150,9.6829,16.685538,14.846304,18.216076
Tehran,1200.0,2026-09-04T20:00:00,5.000,135.0,9.3352,8.2105,9.536850,8.485610,9.883144
Tehran,1200.0,2026-09-04T20:00:00,10.000,135.0,5.2802,4.6396,5.330945,4.743319,5.391505
Tehran,1200.0,2026-09-04T20:00:00,20.000,135.0,2.6389,2.3173,2.702306,2.404433,2.703411
Tehran,1200.0,2026-09-04T20:00:00,45.000,135.0,0.9680,0.8499,0.998337,0.888291,0.994848
Tehran,1200.0,2026-09-04T20:00:00,89.000,135.0,0.0188,0.0165,0.015630,0.013907,0.016089
Honolulu,5.0,2026-09-04T20:00:00,0.000,135.0,11.1050,10.7903,28.570671,28.556959,34.477534
Honolulu,5.0,2026-09-04T20:00:00,2.000,135.0,11.1153,10.8006,16.685538,16.677530,18.216076
Honolulu,5.0,2026-09-04T20:00:00,5.000,135.0,9.6295,9.4624,9.536850,9.532273,9.883144
Honolulu,5.0,2026-09-04T20:00:00,10.000,135.0,5.4007,5.3223,5.330945,5.328387,5.391505
Honolulu,5.0,2026-09-04T20:00:00,20.000,135.0,2.6728,2.6354,2.702306,2.701009,2.703411
Honolulu,5.0,2026-09-04T20:00:00,45.000,135.0,0.9760,0.9625,0.998337,0.997858,0.994848
Honolulu,5.0,2026-09-04T20:00:00,89.000,135.0,0.0224,0.0221,0.015630,0.015623,0.016089
